duration_ms_track,explicit,id_track,name_track,popularity,track,artist_ids,artist_names,album_id,album_name,album_release_date,album_release_date_precision,playlist_id,description_playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
340853,False,1tPYNO4fbdMReBPrcAvy9u,Mister White,13,True,5O1GkdCKBSYzioJb4Jysiv,State Cows,41omzEVasEFVZqma3WRuuq,The Second One,2013-05-24,day,31V9KGeoHgmduWndkqtXHh,Get ready for some smooth sailing. Get on the boat! ,0.859,0.2,1,-13.585,1,0.0361,0.223,0.000134,0.0424,0.544,101.993,4
340853,False,1tPYNO4fbdMReBPrcAvy9u,Mister White,13,True,5O1GkdCKBSYzioJb4Jysiv,State Cows,41omzEVasEFVZqma3WRuuq,The Second One,2013-05-24,day,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.859,0.2,1,-13.585,1,0.0361,0.223,0.000134,0.0424,0.544,101.993,4
235058,False,3eZn1kf4Ds2zhKqWt7XPv5,Wrong Side of the Tracks,15,True,6opjDqwktGxPYPdOAs6T83,David Roberts,6CoCuashl0StGSgw5XKEJz,All Dressed Up,1982-06-29,day,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.553,0.693,11,-8.107,0,0.0504,0.0671,0.0,0.273,0.684,100.043,4
235058,False,3eZn1kf4Ds2zhKqWt7XPv5,Wrong Side of the Tracks,15,True,6opjDqwktGxPYPdOAs6T83,David Roberts,6CoCuashl0StGSgw5XKEJz,All Dressed Up,1982-06-29,day,1mH30Ky52SiFE1W8OdPq8t,"Smooth Westcoast (loosely called &quot;Yacht Rock&quot;) featuring greats such as Jay Graydon, Jerry Hey and Jeff Porcaro, predominantly recorded by studio musicians in L.A. between 1975 and 1985, with a strong emphasis on the golden era of 1977–1982. You can also call it some of the finest music ever made. ",0.553,0.693,11,-8.107,0,0.0504,0.0671,0.0,0.273,0.684,100.043,4
235058,False,3eZn1kf4Ds2zhKqWt7XPv5,Wrong Side of the Tracks,15,True,6opjDqwktGxPYPdOAs6T83,David Roberts,6CoCuashl0StGSgw5XKEJz,All Dressed Up,1982-06-29,day,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.553,0.693,11,-8.107,0,0.0504,0.0671,0.0,0.273,0.684,100.043,4
208266,False,19JyDDO6hZmEjdagNDA2Km,Living Without Your Love,26,True,0VEYLlS75s0mdIznsxmwqf,The Imperials,06cB2QYDAQBVfM2uhmXeNC,One More Song for You,1979,year,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.689,0.437,1,-16.576,0,0.1,0.168,0.0,0.0553,0.935,87.736,4
208266,False,19JyDDO6hZmEjdagNDA2Km,Living Without Your Love,26,True,0VEYLlS75s0mdIznsxmwqf,The Imperials,06cB2QYDAQBVfM2uhmXeNC,One More Song for You,1979,year,7hF23BjKA2z4xOVA5mhv2u,[Soft Rock / West Coast AOR / Yacht Rock / Modern Soul / Jazz Rock] Rare jams and classic vibes from the late 70s to the early 80s!,0.689,0.437,1,-16.576,0,0.1,0.168,0.0,0.0553,0.935,87.736,4
208266,False,19JyDDO6hZmEjdagNDA2Km,Living Without Your Love,26,True,0VEYLlS75s0mdIznsxmwqf,The Imperials,06cB2QYDAQBVfM2uhmXeNC,One More Song for You,1979,year,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.689,0.437,1,-16.576,0,0.1,0.168,0.0,0.0553,0.935,87.736,4
247960,False,7CCabFN0eJ3TNKKxJKGyPO,Leave Me Alone Tonight,35,True,7rwON0TV1OTow75SHhY0PG,Dave Raynor,0TfkJURmU5kvNQm3Pf7AgL,Rain or Shine,2014-04-15,day,6kVRZHsbV6LZEBiqzSzFvq,"An ever-expanding, official list of Yacht Rock songs, deemed Yacht Rock by the creators of the Yacht Rock web show. They coined and defined the term! For more information, visit yachtornyacht.com. Subscribe to the Beyond Yacht Rock podcast today! List is maintained by Samuel J. Hill.",0.589,0.446,2,-14.02,1,0.0703,0.629,0.0382,0.354,0.905,96.236,4
247960,False,7CCabFN0eJ3TNKKxJKGyPO,Leave Me Alone Tonight,35,True,7rwON0TV1OTow75SHhY0PG,Dave Raynor,0TfkJURmU5kvNQm3Pf7AgL,Rain or Shine,2014-04-15,day,0Wmx8kg26qdAF2pvf1Fp05,The Definitive Yachski Scale from highest rating to lowest.  Inspired by the geniuses at Beyond Yacht Rock podcast on Feral Audio.  RIP Koko Goldstein (pictured).,0.589,0.446,2,-14.02,1,0.0703,0.629,0.0382,0.354,0.905,96.236,4
